Date,Close,High,Low,Open,currency_pair
6/18/2024,1.074067712,1.076125026,1.071111083,1.074067712,EUR/USD
6/19/2024,1.07422924,1.075326681,1.072627544,1.07422924,EUR/USD
6/20/2024,1.075153232,1.075037599,1.070755482,1.075153232,EUR/USD
6/21/2024,1.070640922,1.072270989,1.067190289,1.070640922,EUR/USD
6/24/2024,1.068775773,1.074702501,1.06844449,1.068775773,EUR/USD
6/25/2024,1.073272347,1.074575543,1.069221377,1.073272347,EUR/USD
6/26/2024,1.070961952,1.072041154,1.066769123,1.070961952,EUR/USD
6/27/2024,1.068010926,1.0726161,1.067782879,1.068010926,EUR/USD
6/28/2024,1.070847273,1.072098613,1.06860435,1.070847273,EUR/USD
7/1/2024,1.073525786,1.077818513,1.072075605,1.073525786,EUR/USD
7/2/2024,1.073710203,1.074610233,1.071065187,1.073710203,EUR/USD
7/3/2024,1.074841261,1.081560493,1.073710203,1.074841261,EUR/USD
7/4/2024,1.079330802,1.081665754,1.078422904,1.079330802,EUR/USD
7/5/2024,1.08106935,1.083834648,1.08106935,1.08106935,EUR/USD
7/8/2024,1.08260262,1.08471632,1.081513643,1.08260262,EUR/USD
7/9/2024,1.083095074,1.083423615,1.080625415,1.083095074,EUR/USD
7/10/2024,1.081478596,1.082872152,1.081186295,1.081478596,EUR/USD
7/11/2024,1.083329678,1.089835167,1.083294511,1.083329678,EUR/USD
7/12/2024,1.087275624,1.091119409,1.086307168,1.087275624,EUR/USD
7/15/2024,1.088553905,1.092191935,1.088435411,1.088553905,EUR/USD
7/16/2024,1.090155959,1.090631485,1.087216496,1.090155959,EUR/USD
7/17/2024,1.090250969,1.094714761,1.089633226,1.090250969,EUR/USD
7/18/2024,1.094020128,1.094211578,1.090536237,1.094020128,EUR/USD
7/19/2024,1.090155959,1.090155959,1.087736845,1.090155959,EUR/USD
7/22/2024,1.089918256,1.090155959,1.087370157,1.089918256,EUR/USD
